,game,model,experiment,episode,metric,value
0,dond,Apertus-v1.5-8B,semi,instance_00004,Request Count,2.0
1,dond,Apertus-v1.5-8B,semi,instance_00004,Parsed Request Count,2.0
2,dond,Apertus-v1.5-8B,semi,instance_00004,Violated Request Count,0.0
3,dond,Apertus-v1.5-8B,semi,instance_00004,Request Success Ratio,1.0
4,dond,Apertus-v1.5-8B,semi,instance_00004,Aborted,0.0
5,dond,Apertus-v1.5-8B,semi,instance_00004,Lose,1.0
6,dond,Apertus-v1.5-8B,semi,instance_00004,Success,0.0
7,dond,Apertus-v1.5-8B,semi,instance_00004,Main Score,0.0
8,dond,Apertus-v1.5-8B,semi,instance_00004,Sum of Points,0.0
9,dond,Apertus-v1.5-8B,semi,instance_00004,Pareto Optimal,0.0
10,dond,Apertus-v1.5-8B,semi,instance_00003,Request Count,1.0
11,dond,Apertus-v1.5-8B,semi,instance_00003,Parsed Request Count,0.0
12,dond,Apertus-v1.5-8B,semi,instance_00003,Violated Request Count,1.0
13,dond,Apertus-v1.5-8B,semi,instance_00003,Request Success Ratio,0.0
14,dond,Apertus-v1.5-8B,semi,instance_00003,Aborted,1.0
15,dond,Apertus-v1.5-8B,semi,instance_00003,Lose,0.0
16,dond,Apertus-v1.5-8B,semi,instance_00003,Success,0.0
17,dond,Apertus-v1.5-8B,semi,instance_00003,Main Score,
18,dond,Apertus-v1.5-8B,semi,instance_00000,Request Count,1.0
19,dond,Apertus-v1.5-8B,semi,instance_00000,Parsed Request Count,0.0
20,dond,Apertus-v1.5-8B,semi,instance_00000,Violated Request Count,1.0
21,dond,Apertus-v1.5-8B,semi,instance_00000,Request Success Ratio,0.0
22,dond,Apertus-v1.5-8B,semi,instance_00000,Aborted,1.0
23,dond,Apertus-v1.5-8B,semi,instance_00000,Lose,0.0
24,dond,Apertus-v1.5-8B,semi,instance_00000,Success,0.0
25,dond,Apertus-v1.5-8B,semi,instance_00000,Main Score,
26,dond,Apertus-v1.5-8B,semi,instance_00002,Request Count,2.0
27,dond,Apertus-v1.5-8B,semi,instance_00002,Parsed Request Count,2.0
28,dond,Apertus-v1.5-8B,semi,instance_00002,Violated Request Count,0.0
29,dond,Apertus-v1.5-8B,semi,instance_00002,Request Success Ratio,1.0
30,dond,Apertus-v1.5-8B,semi,instance_00002,Aborted,0.0
31,dond,Apertus-v1.5-8B,semi,instance_00002,Lose,1.0
32,dond,Apertus-v1.5-8B,semi,instance_00002,Success,0.0
33,dond,Apertus-v1.5-8B,semi,instance_00002,Main Score,0.0
34,dond,Apertus-v1.5-8B,semi,instance_00002,Sum of Points,0.0
35,dond,Apertus-v1.5-8B,semi,instance_00002,Pareto Optimal,0.0
36,dond,Apertus-v1.5-8B,semi,instance_00001,Request Count,1.0
37,dond,Apertus-v1.5-8B,semi,instance_00001,Parsed Request Count,0.0
38,dond,Apertus-v1.5-8B,semi,instance_00001,Violated Request Count,1.0
39,dond,Apertus-v1.5-8B,semi,instance_00001,Request Success Ratio,0.0
40,dond,Apertus-v1.5-8B,semi,instance_00001,Aborted,1.0
41,dond,Apertus-v1.5-8B,semi,instance_00001,Lose,0.0
42,dond,Apertus-v1.5-8B,semi,instance_00001,Success,0.0
43,dond,Apertus-v1.5-8B,semi,instance_00001,Main Score,
44,dond,Apertus-v1.5-8B,coop,instance_00004,Request Count,2.0
45,dond,Apertus-v1.5-8B,coop,instance_00004,Parsed Request Count,2.0
46,dond,Apertus-v1.5-8B,coop,instance_00004,Violated Request Count,0.0
47,dond,Apertus-v1.5-8B,coop,instance_00004,Request Success Ratio,1.0
48,dond,Apertus-v1.5-8B,coop,instance_00004,Aborted,0.0
49,dond,Apertus-v1.5-8B,coop,instance_00004,Lose,1.0
50,dond,Apertus-v1.5-8B,coop,instance_00004,Success,0.0
51,dond,Apertus-v1.5-8B,coop,instance_00004,Main Score,0.0
52,dond,Apertus-v1.5-8B,coop,instance_00004,Sum of Points,0.0
53,dond,Apertus-v1.5-8B,coop,instance_00004,Pareto Optimal,0.0
54,dond,Apertus-v1.5-8B,coop,instance_00003,Request Count,10.0
55,dond,Apertus-v1.5-8B,coop,instance_00003,Parsed Request Count,10.0
56,dond,Apertus-v1.5-8B,coop,instance_00003,Violated Request Count,0.0
57,dond,Apertus-v1.5-8B,coop,instance_00003,Request Success Ratio,1.0
58,dond,Apertus-v1.5-8B,coop,instance_00003,Aborted,1.0
59,dond,Apertus-v1.5-8B,coop,instance_00003,Lose,0.0
60,dond,Apertus-v1.5-8B,coop,instance_00003,Success,0.0
61,dond,Apertus-v1.5-8B,coop,instance_00003,Main Score,
62,dond,Apertus-v1.5-8B,coop,instance_00000,Request Count,2.0
63,dond,Apertus-v1.5-8B,coop,instance_00000,Parsed Request Count,2.0
64,dond,Apertus-v1.5-8B,coop,instance_00000,Violated Request Count,0.0
65,dond,Apertus-v1.5-8B,coop,instance_00000,Request Success Ratio,1.0
66,dond,Apertus-v1.5-8B,coop,instance_00000,Aborted,0.0
67,dond,Apertus-v1.5-8B,coop,instance_00000,Lose,1.0
68,dond,Apertus-v1.5-8B,coop,instance_00000,Success,0.0
69,dond,Apertus-v1.5-8B,coop,instance_00000,Main Score,0.0
70,dond,Apertus-v1.5-8B,coop,instance_00000,Sum of Points,0.0
71,dond,Apertus-v1.5-8B,coop,instance_00000,Pareto Optimal,0.0
72,dond,Apertus-v1.5-8B,coop,instance_00002,Request Count,3.0
73,dond,Apertus-v1.5-8B,coop,instance_00002,Parsed Request Count,3.0
74,dond,Apertus-v1.5-8B,coop,instance_00002,Violated Request Count,0.0
75,dond,Apertus-v1.5-8B,coop,instance_00002,Request Success Ratio,1.0
76,dond,Apertus-v1.5-8B,coop,instance_00002,Aborted,1.0
77,dond,Apertus-v1.5-8B,coop,instance_00002,Lose,0.0
78,dond,Apertus-v1.5-8B,coop,instance_00002,Success,0.0
79,dond,Apertus-v1.5-8B,coop,instance_00002,Main Score,
80,dond,Apertus-v1.5-8B,coop,instance_00001,Request Count,2.0
81,dond,Apertus-v1.5-8B,coop,instance_00001,Parsed Request Count,2.0
82,dond,Apertus-v1.5-8B,coop,instance_00001,Violated Request Count,0.0
83,dond,Apertus-v1.5-8B,coop,instance_00001,Request Success Ratio,1.0
84,dond,Apertus-v1.5-8B,coop,instance_00001,Aborted,0.0
85,dond,Apertus-v1.5-8B,coop,instance_00001,Lose,1.0
86,dond,Apertus-v1.5-8B,coop,instance_00001,Success,0.0
87,dond,Apertus-v1.5-8B,coop,instance_00001,Main Score,0.0
